;Full Name;Position;20-Yard Shuttle;3-Cone Drill;40-Yard Dash;Agility Score;Athleticism Score;Bench Press;Broad Jump;Burst Score;Height-adjusted Speed Score;SPARQ-x;Speed Score;Vertical Jump;Age;Arm Length;Best Comparable Player (1);Best Comparable Player (2);Best Comparable Player (3);Best Comparable Player (4);Best Comparable Player (5);College;Draft Pick;Draft Year;Hand Size;Height (Inches);Team;Weight
60;Billy Turner;OL;4,71;7,92;5,16;12,63;101,1;25,0;108,0;101,6;;101,3;88,9;28,0;29,3;34    ;Chad Slade;Chaz Green;Alex Lewis;Ian Silberman;Emmett Cleary;North Dakota State;3.03;2014;10    ;77;Green Bay Packers;315 lbs
61;Blaine Clausell;OL;;;5,22;;;;;;;;88,6;;;;;;;;;;;;;;;
62;Blake Brandel;OL;4,96;7,97;5,36;12,93;98,2;29,0;109,0;107,2;;104,4;74,6;31,0;24,0;33 1/4;Array;Oregon State;6.24;2020;10 1/4;78;Minnesota Vikings;308 lbs;;;;
63;Bobby Evans;OL;4,72;8,0;5,2;12,72;101,2;22,0;116,0;104,8;;93,8;85,3;27,5;23,9;34 3/4;Tyrell Crosby;Leonard Wester;Chaz Green;Chad Slade;Ricky Wagner;Oklahoma;3.33;2019;9 7/8;76;Los Angeles Rams;312 lbs
64;Bobby Hart;OL;;;5,09;;;;;;;;98,0;;26,5;33    ;Quinton Spain;Jamon Brown;Jermey Parnell;Brandon Scherff;Alex Boone;Florida State;7.09;2015;10 1/8;77;Cincinnati Bengals;329 lbs
65;Bobby Massie;OL;4,95;7,7;5,18;12,65;98,1;22,0;103,0;98,3;;90,3;87,8;27,5;31,5;35    ;John Theus;Cam Robinson;Ethan Pocic;Branden Albert;Alex Lewis;Mississippi;4.17;2012;9    ;78;Chicago Bears;316 lbs
66;Brad Lundblade;OL;4,8;8,01;5,5;12,81;94,4;24,0;95,0;95,1;;89,8;64,5;28,0;25,4;31 3/4;Leo Koloamatangi;Ted Karras;Matt Skura;Kyle Kalis;Erik Magnuson;Oklahoma State;Undrafted;2018;9 5/8;75;Seattle Seahawks;295 lbs
67;Brad Seaton;OL;5,0;7,84;5,42;12,84;95,8;24,0;105,0;96,7;;89,9;76,2;26,0;;;;;;;;;;;;;;
68;Braden Smith;OL;4,77;7,81;5,22;12,58;104,9;35,0;113,0;113,5;;127,8;84,9;33,5;24,9;32 1/4;Matt Slauson;Germain Ifedi;Will Beatty;De'Ondre Wesley;Terry Poole;Auburn;2.05;2018;9 3/8;78;Indianapolis Colts;315 lbs
69;Bradley Bozeman;OL;5,17;8,25;5,51;13,42;90,0;27,0;97,0;89,3;;85,5;64,2;24,0;26,2;31 1/4;Chad Wheeler;Brandon Greene;Jerald Hawkins;Kyle Kalis;Kaleb Johnson;Alabama;6.41;2018;9 3/4;77;Baltimore Ravens;296 lbs
70;Branden Albert;OL;4,78;7,97;5,17;12,75;97,5;23,0;111,0;99,7;90,0;92,3;86,5;26,0;;;;;;;;;;;;;;
71;Brandon Brooks;OL;;;4,99;;;;;;;;111,6;;;;;;;;;;;;;;;
72;Brandon Fusco;OL;4,43;7,29;5,18;11,72;103,5;26,0;108,0;102,5;;109,3;85,0;28,5;32,5;33 3/4;Jake Matthews;Spencer Pulley;Joe Haeg;Tyler Johnstone;Mike Person;Slippery Rock;6.07;2011;10    ;76;;306 lbs
73;Brandon Greene;OL;5,07;8,18;5,37;13,25;91,3;22,0;101,0;93,0;;78,5;69,3;25,0;;;;;;;;;;;;;;
74;Brandon Knight;OL;;;;;;27,0;;;;;;;23,8;34    ;Dillon Day;Max Garcia;T.J. Lang;Russell Okung;Zane Beadles;Indiana;Undrafted;2019;10    ;76;Dallas Cowboys;314 lbs
75;Brandon Kublanow;OL;4,69;8,01;5,32;12,7;101,8;31,0;100,0;99,3;;110,8;74,9;29,0;;;;;;;;;;;;;;
76;Brandon Linder;OL;;;5,35;;;30,0;99,0;94,6;;;75,9;26,5;29,0;34 1/2;Jack Mewhort;Zac Kerin;Cole Toner;Jeremiah Sirles;Parker Ehinger;Miami;3.29;2014;10 1/4;78;Jacksonville Jaguars;311 lbs
77;Brandon Parker;OL;4,68;7,82;5,4;12,5;;;113,0;105,0;;;71,7;28,5;25,3;35    ;Will Holden;Andrew Donnal;John Kling;Bryce Harris;Sam Young;NC A&T;3.01;2018;9 3/4;80;Las Vegas Raiders;305 lbs
78;Brandon Scherff;OL;;;5,05;;;23,0;;;;;98,1;;29,1;33 3/8;Joe Looney;Jamon Brown;Bobby Hart;Jermey Parnell;Orlando Franklin;Iowa;1.05;2015;11    ;77;Washington;319 lbs
79;Brandon Shell;OL;;;5,22;;;22,0;112,0;107,9;;;87,3;30,5;29,0;34 3/4;Germain Ifedi;Brian Winters;Taylor Moton;Nico Siragusa;Jah Reid;South Carolina;5.19;2016;10 3/4;77;Seattle Seahawks;324 lbs
80;Brandon Thomas;OL;4,83;8,13;5,09;12,96;106,2;35,0;98,0;98,3;;124,0;94,5;29,0;30,0;34 3/4;Jeff Allen;Ronnie Stanley;Tony Bergstrom;Trey Hopkins;Caleb Benenoch;Clemson;3.36;2014;10 1/2;75;;317 lbs
81;Breno Giacomini;OL;4,63;7,56;5,2;12,19;94,6;23,0;108,0;92,3;;90,0;82,9;22,5;;;;;;;;;;;;;;
82;Brent Qvale;OL;4,86;7,4;5,25;12,26;99,3;24,0;99,0;98,8;;96,4;83,7;29,0;29,9;34 3/8;Joshua Garnett;Zack Martin;Donavon Clark;Kevin Zeitler;Max Garcia;Nebraska;Undrafted;2014;9 1/4;78;Houston Texans;318 lbs
83;Brett Boyko;OL;4,75;7,91;5,6;12,66;87,6;17,0;103,0;94,0;;75,0;61,2;25,0;28,5;32    ;Jon Toth;Erik Magnuson;Leo Koloamatangi;Matt McCants;Oday Aboushi;UNLV;Undrafted;2015;9    ;79;;301 lbs
84;Brett Toth;OL;4,75;7,4;5,19;12,15;92,6;16,0;103,0;94,0;;77,0;80,2;25,0;24,4;33 3/8;Christian Schneider;Nick Martin;Luke Bowanko;Adam Redmond;David Bakhtiari;Army;Undrafted;2018;10 1/4;78;;291 lbs
